Timestamp UTC;Timestamp;Value;Source;Measurement;Unit
2024-11-22 01.45.00;2024-11-22 08.45.00;153042,1563;APF.P1;Voltage L-L Avg High;V
2024-11-22 01.45.00;2024-11-22 08.45.00;152687,0156;APF.P1;Voltage L-L Avg Low;V
2024-11-22 01.45.00;2024-11-22 08.45.00;152859,0938;APF.P1;Voltage L-L Avg Mean;V
2024-11-22 02.00.00;2024-11-22 09.00.00;153108,9844;APF.P1;Voltage L-L Avg High;V
2024-11-22 02.00.00;2024-11-22 09.00.00;152720,4844;APF.P1;Voltage L-L Avg Low;V
2024-11-22 02.00.00;2024-11-22 09.00.00;152967,9063;APF.P1;Voltage L-L Avg Mean;V
2024-11-22 02.15.00;2024-11-22 09.15.00;153086,7656;APF.P1;Voltage L-L Avg High;V
2024-11-22 02.15.00;2024-11-22 09.15.00;152757,3438;APF.P1;Voltage L-L Avg Low;V
2024-11-22 02.15.00;2024-11-22 09.15.00;152925,8281;APF.P1;Voltage L-L Avg Mean;V
2024-11-22 02.30.00;2024-11-22 09.30.00;152950,2813;APF.P1;Voltage L-L Avg High;V
2024-11-22 02.30.00;2024-11-22 09.30.00;152604,3906;APF.P1;Voltage L-L Avg Low;V
2024-11-22 02.30.00;2024-11-22 09.30.00;152774,4688;APF.P1;Voltage L-L Avg Mean;V
2024-11-22 02.45.00;2024-11-22 09.45.00;152899,2969;APF.P1;Voltage L-L Avg High;V
2024-11-22 02.45.00;2024-11-22 09.45.00;152364,2188;APF.P1;Voltage L-L Avg Low;V
2024-11-22 02.45.00;2024-11-22 09.45.00;152671,3125;APF.P1;Voltage L-L Avg Mean;V
2024-11-22 03.00.00;2024-11-22 10.00.00;152671,5156;APF.P1;Voltage L-L Avg High;V
2024-11-22 03.00.00;2024-11-22 10.00.00;152284,2344;APF.P1;Voltage L-L Avg Low;V
2024-11-22 03.00.00;2024-11-22 10.00.00;152492,1719;APF.P1;Voltage L-L Avg Mean;V
